geonameId,name,countryCode,latitude,longitude,population,timezone,source
290030,Doha,QA,25.28545,51.53096,344939,Asia/Qatar,GeoNames (CC BY 4.0) via geonamescache
289888,Ar Rayyān,QA,25.29194,51.42444,272465,Asia/Qatar,GeoNames (CC BY 4.0) via geonamescache
13512674,Lusail,QA,25.4175,51.5075,198600,Asia/Qatar,GeoNames (CC BY 4.0) via geonamescache
12242643,Al Maţār al ‘Atīq,QA,25.25138,51.55569,76774,Asia/Qatar,GeoNames (CC BY 4.0) via geonamescache
411759,Al Manşūrah,QA,25.26807,51.53219,65493,Asia/Qatar,GeoNames (CC BY 4.0) via geonamescache
289847,Az̧ Z̧a‘āyin,QA,25.57744,51.48306,54339,Asia/Qatar,GeoNames (CC BY 4.0) via geonamescache
289738,Madīnat Khalīfah,QA,25.32047,51.47787,44459,Asia/Qatar,GeoNames (CC BY 4.0) via geonamescache
411760,An Najmah,QA,25.26704,51.54322,43695,Asia/Qatar,GeoNames (CC BY 4.0) via geonamescache
289511,Al ‘Unayzah,QA,25.33759,51.50953,39761,Asia/Qatar,GeoNames (CC BY 4.0) via geonamescache
289545,Umm Ghuwaylīnah,QA,25.58716,51.14986,39457,Asia/Qatar,GeoNames (CC BY 4.0) via geonamescache
411820,As Sadd,QA,25.28617,51.50074,36077,Asia/Qatar,GeoNames (CC BY 4.0) via geonamescache
12219798,Farīj Kulayb,QA,25.31313,51.4929,33263,Asia/Qatar,GeoNames (CC BY 4.0) via geonamescache
12242742,Farīj al Amīr,QA,25.28733,51.47136,33263,Asia/Qatar,GeoNames (CC BY 4.0) via geonamescache
289523,Umm Şalāl Muḩammad,QA,25.41524,51.40647,29391,Asia/Qatar,GeoNames (CC BY 4.0) via geonamescache
289716,Mu‘aydhir Rawḑat Rāshid,QA,25.2617,51.39684,27569,Asia/Qatar,GeoNames (CC BY 4.0) via geonamescache
411752,As Sulţah al Jadīdah,QA,25.2604,51.51403,27432,Asia/Qatar,GeoNames (CC BY 4.0) via geonamescache
289915,Al Wakrah,QA,25.17151,51.60337,26436,Asia/Qatar,GeoNames (CC BY 4.0) via geonamescache
12242644,Ath Thumāmah Sab‘ah wa Arba‘ūn,QA,25.23903,51.56333,22284,Asia/Qatar,GeoNames (CC BY 4.0) via geonamescache
12242645,Ath Thumāmah Sittah wa Arba‘ūn,QA,25.23404,51.54053,22284,Asia/Qatar,GeoNames (CC BY 4.0) via geonamescache
12242646,Ath Thumāmah Khamsūn,QA,25.21958,51.55323,22284,Asia/Qatar,GeoNames (CC BY 4.0) via geonamescache
289698,Nu‘ayjah,QA,25.24617,51.53227,19975,Asia/Qatar,GeoNames (CC BY 4.0) via geonamescache
411803,Al Ghānim,QA,25.27987,51.54037,19010,Asia/Qatar,GeoNames (CC BY 4.0) via geonamescache
289962,Al Khawr,QA,25.68389,51.50583,18923,Asia/Qatar,GeoNames (CC BY 4.0) via geonamescache
11207824,Umm Lakhbā,QA,25.34157,51.4706,16993,Asia/Qatar,GeoNames (CC BY 4.0) via geonamescache
411763,Al Hilāl al Gharbīyah,QA,25.2586,51.53098,15461,Asia/Qatar,GeoNames (CC BY 4.0) via geonamescache
411768,Al Hilāl ash Sharqīyah,QA,25.26042,51.54632,15461,Asia/Qatar,GeoNames (CC BY 4.0) via geonamescache
