airTempC,relativeHumidityPct,dewPointC,condensesOn2CPallet,source
20,20,-3.66,no,"Magnus/Tetens coefficients, Alduchov & Eskridge 1996"
20,30,1.89,no,"Magnus/Tetens coefficients, Alduchov & Eskridge 1996"
20,40,5.99,yes,"Magnus/Tetens coefficients, Alduchov & Eskridge 1996"
20,50,9.26,yes,"Magnus/Tetens coefficients, Alduchov & Eskridge 1996"
20,60,12.0,yes,"Magnus/Tetens coefficients, Alduchov & Eskridge 1996"
20,70,14.36,yes,"Magnus/Tetens coefficients, Alduchov & Eskridge 1996"
20,80,16.44,yes,"Magnus/Tetens coefficients, Alduchov & Eskridge 1996"
20,90,18.31,yes,"Magnus/Tetens coefficients, Alduchov & Eskridge 1996"
20,100,20.0,yes,"Magnus/Tetens coefficients, Alduchov & Eskridge 1996"
22,20,-2.0,no,"Magnus/Tetens coefficients, Alduchov & Eskridge 1996"
22,30,3.62,yes,"Magnus/Tetens coefficients, Alduchov & Eskridge 1996"
22,40,7.78,yes,"Magnus/Tetens coefficients, Alduchov & Eskridge 1996"
22,50,11.1,yes,"Magnus/Tetens coefficients, Alduchov & Eskridge 1996"
22,60,13.88,yes,"Magnus/Tetens coefficients, Alduchov & Eskridge 1996"
22,70,16.28,yes,"Magnus/Tetens coefficients, Alduchov & Eskridge 1996"
22,80,18.39,yes,"Magnus/Tetens coefficients, Alduchov & Eskridge 1996"
22,90,20.28,yes,"Magnus/Tetens coefficients, Alduchov & Eskridge 1996"
22,100,22.0,yes,"Magnus/Tetens coefficients, Alduchov & Eskridge 1996"
24,20,-0.35,no,"Magnus/Tetens coefficients, Alduchov & Eskridge 1996"
24,30,5.36,yes,"Magnus/Tetens coefficients, Alduchov & Eskridge 1996"
24,40,9.57,yes,"Magnus/Tetens coefficients, Alduchov & Eskridge 1996"
24,50,12.94,yes,"Magnus/Tetens coefficients, Alduchov & Eskridge 1996"
24,60,15.76,yes,"Magnus/Tetens coefficients, Alduchov & Eskridge 1996"
24,70,18.19,yes,"Magnus/Tetens coefficients, Alduchov & Eskridge 1996"
24,80,20.34,yes,"Magnus/Tetens coefficients, Alduchov & Eskridge 1996"
24,90,22.26,yes,"Magnus/Tetens coefficients, Alduchov & Eskridge 1996"
24,100,24.0,yes,"Magnus/Tetens coefficients, Alduchov & Eskridge 1996"
26,20,1.3,no,"Magnus/Tetens coefficients, Alduchov & Eskridge 1996"
26,30,7.09,yes,"Magnus/Tetens coefficients, Alduchov & Eskridge 1996"
26,40,11.36,yes,"Magnus/Tetens coefficients, Alduchov & Eskridge 1996"
26,50,14.78,yes,"Magnus/Tetens coefficients, Alduchov & Eskridge 1996"
26,60,17.64,yes,"Magnus/Tetens coefficients, Alduchov & Eskridge 1996"
26,70,20.11,yes,"Magnus/Tetens coefficients, Alduchov & Eskridge 1996"
26,80,22.28,yes,"Magnus/Tetens coefficients, Alduchov & Eskridge 1996"
26,90,24.23,yes,"Magnus/Tetens coefficients, Alduchov & Eskridge 1996"
26,100,26.0,yes,"Magnus/Tetens coefficients, Alduchov & Eskridge 1996"
28,20,2.95,yes,"Magnus/Tetens coefficients, Alduchov & Eskridge 1996"
28,30,8.81,yes,"Magnus/Tetens coefficients, Alduchov & Eskridge 1996"
28,40,13.15,yes,"Magnus/Tetens coefficients, Alduchov & Eskridge 1996"
28,50,16.61,yes,"Magnus/Tetens coefficients, Alduchov & Eskridge 1996"
