countryCode,date,name,weekday,source
QA,2026-02-10,اليوم الوطني للرياضة,Tuesday,python-holidays (MIT)
QA,2026-03-20,عيد الفطر (تقديري),Friday,python-holidays (MIT)
QA,2026-03-21,عيد الفطر (تقديري),Saturday,python-holidays (MIT)
QA,2026-03-22,عيد الفطر (تقديري),Sunday,python-holidays (MIT)
QA,2026-05-27,عيد الأضحى (تقديري),Wednesday,python-holidays (MIT)
QA,2026-05-28,عيد الأضحى (تقديري),Thursday,python-holidays (MIT)
QA,2026-05-29,عيد الأضحى (تقديري),Friday,python-holidays (MIT)
QA,2026-12-18,اليوم الوطني لقطر,Friday,python-holidays (MIT)
QA,2027-02-09,اليوم الوطني للرياضة,Tuesday,python-holidays (MIT)
QA,2027-03-09,عيد الفطر (تقديري),Tuesday,python-holidays (MIT)
QA,2027-03-10,عيد الفطر (تقديري),Wednesday,python-holidays (MIT)
QA,2027-03-11,عيد الفطر (تقديري),Thursday,python-holidays (MIT)
QA,2027-05-16,عيد الأضحى (تقديري),Sunday,python-holidays (MIT)
QA,2027-05-17,عيد الأضحى (تقديري),Monday,python-holidays (MIT)
QA,2027-05-18,عيد الأضحى (تقديري),Tuesday,python-holidays (MIT)
QA,2027-12-18,اليوم الوطني لقطر,Saturday,python-holidays (MIT)
